Modo_solicitud,Orden_solicitud,Carrera,Asistencia_diurna_nocturna,Calificacion_previa,Calificacion_madre,Calificacion_padre,Ocupacion_madre,Ocupacion_padre,Desplazado,Deudor,Pagos_al_dia,Genero,Becado,Edad_al_matricularse,Unidades_1er_sem_matriculadas,Unidades_1er_sem_evaluaciones,Unidades_1er_sem_aprobadas,Unidades_1er_sem_nota,Unidades_2do_sem_matriculadas,Unidades_2do_sem_evaluaciones,Unidades_2do_sem_aprobadas,Unidades_2do_sem_nota,Tasa_desempleo,Tasa_inflacion,PIB
9,1,10,1,1,13,28,6,9,1,0,1,0,0,18,6,10,1,12.0,6,14,2,11.0,10.8,1.4,1.74
1,1,16,1,1,13,14,8,8,1,0,1,0,0,18,7,7,6,11.666666666666666,7,8,6,13.5,16.2,0.3,-0.92
9,4,13,1,1,1,28,5,8,1,0,1,0,0,20,7,14,7,11.4375,8,9,8,11.425,12.7,3.7,-1.7
1,1,10,1,1,13,28,10,10,1,1,1,0,1,18,6,8,5,11.6,6,12,4,11.0,7.6,2.6,0.32
1,1,6,1,1,13,14,4,4,1,0,1,0,0,18,5,9,5,12.666666666666666,5,7,4,13.0,9.4,-0.8,-3.12
8,2,12,1,1,3,3,2,11,1,0,1,1,0,19,7,9,6,12.933333333333332,7,7,6,13.716666666666669,16.2,0.3,-0.92
15,1,4,1,14,4,5,5,3,0,0,1,1,0,21,6,15,5,11.857142857142858,6,17,5,10.571428571428571,16.2,0.3,-0.92
1,1,9,1,1,1,1,5,7,0,0,0,1,0,18,5,9,3,11.333333333333334,5,8,2,13.5,8.9,1.4,3.51
8,1,17,0,1,23,28,5,6,0,0,1,0,0,24,5,9,2,11.5,5,11,3,14.333333333333334,7.6,2.6,0.32
1,1,12,1,1,22,28,7,7,1,0,1,0,1,19,8,10,6,11.833333333333334,8,10,6,11.833333333333334,9.4,-0.8,-3.12
1,1,15,1,1,1,14,8,8,1,0,1,0,1,20,6,11,4,14.0,6,12,3,11.0,9.4,-0.8,-3.12
1,3,2,1,1,23,27,5,10,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,7.6,2.6,0.32
8,3,2,1,1,1,27,5,8,1,0,1,1,1,19,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74
8,1,5,1,1,1,1,4,5,1,0,1,1,0,19,6,6,5,11.4,6,8,1,10.0,10.8,1.4,1.74
14,1,5,1,1,1,1,4,4,0,0,1,1,0,24,6,6,0,0.0,6,6,0,0.0,12.7,3.7,-1.7
12,1,11,1,1,13,27,8,11,0,0,1,1,0,26,6,7,6,12.0,6,8,5,10.8,12.7,3.7,-1.7
8,1,9,1,1,23,27,6,6,0,0,1,1,0,18,5,9,0,0.0,5,5,0,0.0,7.6,2.6,0.32
8,1,11,1,1,13,14,5,5,0,0,1,1,0,18,5,6,5,12.0,5,8,3,11.333333333333334,12.7,3.7,-1.7
